SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
BLTAG|7|Cuppage/etal/1986|265--266||no|no|yes|minor
BLTAG|7|Gippert/Web|161||yes|no|yes|sdisc
BLTAG|7|Macalister/1897|39||no|no|no|cdisc
BLTAG|7|Macalister/1945|155||no|no|no|minor
BLTAG|8|Cuppage/etal/1986|265||no|no|no|cdisc
BLTAG|8|Gippert/Web|162||yes|no|yes|sdisc
BLTAG|8|Macalister/1897|39--41||no|no|no|cdisc
BLTAG|8|Macalister/1945|155--156||no|no|yes|cdisc
BLTAG|9|Cuppage/etal/1986|265--266||no|no|yes|cdisc
BLTAG|9|Gippert/Web|Ogham 163||yes|no|yes|sdisc
BLTAG|9|Macalister/1897|41--45||no|no|no|cdisc
BLTAG|9|Macalister/1945|156--157||no|no|no|cdisc
BLTAG|10|Cuppage/etal/1986|66||no|no|no|minor
BLTER|1|Cuppage/etal/1986|44||no|no|no|cdisc
BLTER|1|Macalister/1945|157--159||yes|no|yes|cdisc
BLTER|1|Vallancey/1804|224--225||no|no|yes|cdisc
BLTER|2|Cuppage/etal/1986|252||no|no|no|cdisc
BLTER|2|Macalister/1945|159--160||no|no|yes|cdisc
BLVOO|1|Brash/1879|255||no|no|yes|cdisc
BLVOO|1|Macalister/1945|266--267||no|no|yes|cdisc
BLVOO|2|Brash/1879|255||no|no|yes|cdisc
BLVOO|2|Macalister/1945|267--268 (figure labelled 270)||no|no|yes|cdisc
BLYGH|1|Cuppage/etal/1986|268||no|no|yes|cdisc
BLYGH|1|Macalister/1945|163--164||no|no|yes|cdisc
BODFD|1|Macalister/1945|306--307||no|no|no|cdisc
BODFD|1|Nash-Williams/1950|55, Fig. 17||no|no|no|cdisc
BODFD|1|Radford/1937b|civ||no|no|yes|cdisc
BODFD|1|Rhys/1877|363 (2nd ed)||inc|inc|inc|inc
BODFD|1|Westwood/1879|192||inc|inc|inc|inc
BOSKN|1|Okasha/1993|68--69|photograph|yes|no|no|cdisc
BOSKN|1|Thomas/1980|107--109|drawing|no|no|yes|sdisc
BOSKN|1|Thomas/1994|271, 285, 294|drawing|no|no|yes|illus
BOSLW|1|Macalister/1949|185|none|no|no|no|sdisc
BOSLW|1|Okasha/1993|70--72|photograph|yes|no|no|sdisc
BOSLW|1|Thomas/1994|287, 291--293|photo/draw|yes|no|yes|sdisc
BOSLW|1|Weatherhill/1981|66|photograph|no|no|no|sdisc
BOSWR|1|Okahsa/1993|73--74|photograph|yes|no|no|sdisc
BOSWR|1|Thomas/1994|282--283|drawing|no|no|yes|sdisc
BOWDN|1|Gough/1806|50--51||no|no|yes|sdisc
BOWDN|1|Okasha/1993|76--77|drawing|no|no|yes|sdisc
BOWDN|1|Thomas/1994|281--282|drawing|no|no|yes|sdisc
BQUIN|1|Macalister/1945|292||no|no|yes|cdisc
BRAGH|1|Cuppage/etal/1986|253||no|no|no|minor
BRAGH|1|Macalister/1945|162||no|no|no|minor
BRAGH|1|OSullivan/1931|398||no|no|no|minor
BRAGH|2|Cuppage/etal/1986|253||no|no|no|cdisc
BRAGH|2|Macalister/1945|162--163||no|no|yes|cdisc
BRAGH|2|OSullivan/1931|398||no|no|no|cdisc
BRATT|1|Forsyth/1996|102--116||yes|no|yes|sdisc
BRAW1|1|Allen/1896|290, 301||no|no|no|list
BRAW1|1|Allen/Westwood/1884|46--48||no|no|yes|sdisc
BRAW1|1|Dark/1992c|36--38||yes|no|yes|list
BRAW1|1|Macalister/1945|400--401||no|no|yes|cdisc
BRAW1|1|Nash-Williams/1936|175||no|no|no|cdisc
BRAW1|1|Nash-Williams/1950|180, Plate II||yes|no|no|list
BRAW1|1|RCHAMW/1925|28, Fig. 53.ii||yes|no|no|cdisc
BRAW1|1|Rhys/1895a|185||no|no|no|cdisc
BRAW2|1|Macalister/1945|403||no|no|yes|minor
BRAW2|1|Nash-Williams/1950|181, Plate XIV||yes|no|no|cdisc
BRAW2|1|Williams/Nash-Williams/1937|4||no|no|no|cdisc
BRAW3|1|Allen/Westwood/1884|46, 49||no|no|yes|cdisc
BRAW3|1|Macalister/1945|399||no|no|yes|cdisc
BRAW3|1|Nash-Williams/1950|180||yes|no|no|cdisc
BRAW3|1|RCHAMW/1925|28||no|no|no|cdisc
BRAW3|1|Rhys/1895a|184--85||no|no|no|cdisc
BRAW3|1|RomillyAllen/1986|290, 298||no|no|no|list
BRAW4|1|Macalister/1945|401||no|no|yes|cdisc
BRAW4|1|Nash-Williams/1950|180||yes|no|yes|cdisc
BRAW4|1|Rhys/1897a|133||no|no|yes|cdisc
BRAW4|1|RomillyAllen/1896|292, 302||no|no|no|list
BRCKN|1|Cuppage/etal/1986|124||no|no|no|cdisc
BRCKN|1|Macalister/1949|166--167||no|no|yes|cdisc
BREAS|1|Gippert/Web|10||yes|no|yes|sdisc
BREAS|1|Macalister/1897|73--75||no|no|no|cdisc
BREAS|1|Macalister/1945|13--15||yes|no|yes|cdisc
BREAS|1|Ziegler/1994|126--127, 253--254||no|no|no|cdisc
BRHAM|1|Cuppage/etal/1986|254||no|no|no|minor
BRHAM|1|Macalister/1945|167--168||no|no|yes|cdisc
BRHGW|1|Macalister/1949|10, Plate I||no|no|yes|cdisc
BRHKL|1|McManus/1991|71--72||no|no|no|minor
BRHKL|1|Rynne/1962|||no|no|no|minor
BRIDE|1|Cubbon/1982|264--266|yes|no|no|yes|sdisc
BRIDE|1|Kermode/1911|33--34|yes|yes|no|no|sdisc
BRIDE|1|Kermode/1911-1912|69--74|yes|no|no|yes|sdisc
BRIDE|1|Kermode/1911-1912b|593--595|yes|inc|inc|inc|cdisc
BRIDE|1|Macalister/1949|191|yes|no|no|yes|sdisc
BRIDE|1|Thomas/1971b|188--190|yes|no|no|yes|sdisc
BRIDL|1|Brash/1872|249--253||no|no|yes|cdisc
BRIDL|1|Huebner/1876|107||no|no|yes|list
BRIDL|1|Macalister/1922b|23||no|no|no|cdisc
BRIDL|1|Macalister/1945|403--405||no|no|yes|cdisc
BRIDL|1|Nash-Williams/1950|180, Plate I||yes|no|no|cdisc
BRIDL|1|RCHAMW/1925|31||yes|no|no|cdisc
BRIDL|1|Rhys/1873|5||no|no|no|minor
BRIDL|1|Rhys/1918|187||no|no|no|minor
BRIDL|1|RomillyAllen/1896|290, 301||no|no|no|list
BRIDL|1|Thomas/1994|71--73||yes|no|no|cdisc
BRIDL|1|Westwood/1879|180||no|no|yes|cdisc
BRMOU|1|Cuppage/etal/1986|254||no|no|no|minor
BRMOU|1|Macalister/1945|167||no|no|no|minor
BROD|1|Forsyth/1996|141--145||yes|no|yes|sdisc
BRUGH|1|Macalister/1949|126, Plate XLV||no|no|yes|cdisc
BRUGH|1|Petrie/1878|73--74||no|no|yes|cdisc
BRYNK|1|Anon/1903|288--289||yes|no|no|illus
BRYNK|1|Anon/1904|149||no|no|no|minor
BRYNK|1|Macalister/1945|361||no|no|no|list
BRYNK|1|Nash-Williams/1950|86||no|no|no|list
BRYNK|1|RCAHMW/1960|95||yes|no|no|cdisc
BRYNK|1|Rhys/1903|256--257||yes|no|no|sdisc
BRYNK|1|Rhys/1907|96--99||yes|no|no|sdisc
BTOBR|1|Macalister/1949|10, Plate 1||no|no|yes|cdisc
BUCKM|1|Okasha/1993|79--80|photograph|no|no|no|sdisc
BUCKM|1|Pearce/1982|5--6, 16--17, Plate 1d||yes|no|no|sdisc
BURGA|1|Macalister/1945|81||no|no|no|minor
BURIN|1|Forsyth/1996|189--190||yes|no|yes|sdisc
BURNF|1|Macalister/1945|61||no|no|yes|cdisc
BWEEN|1|Cuppage/etal/1986|194||no|no|no|cdisc
BWEEN|1|Macalister/1945|165--166||no|no|no|cdisc
CACHU|1|Macalister/1949|79, Plate XLV||no|no|yes|cdisc
CALDY|1|Dark/1992c|32--33||yes|no|no|cdisc
CALDY|1|Huebner/1876|33||no|no|yes|list
CALDY|1|Macalister/1945|405--406||no|no|yes|cdisc
