SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
DINGL|Macalister/1945|171--172||no|no|no|cdisc
DKEAR|Macalister/1945|227||no|no|no|minor
DKEAR|OSullivan/etal/1996|276||no|no|no|cdisc
DLEEK|Macalister/1949|33||no|no|no|minor
DLEEK|Moore/1987|132||no|no|no|minor
DNARD|Macalister/1945|52--53||no|no|no|cdisc
DNBUL|Macalister/1945|65||no|no|no|minor
DNMOR|Macalister/1945|30--31||no|no|no|cdisc
DNWAY|McManus/1991|72||no|no|no|cdisc
DOOGH|Macalister/1945|11||no|no|no|minor
DRCOM|Macalister/1945|298||no|no|no|minor
DRLUS|Macalister/1945|215||no|no|no|minor
DRLUS|OSullivan/etal/1996|55, Plate 20||yes|no|no|cdisc
DROMR|Macalister/1945|261--262||no|no|no|cdisc
DROUK|Macalister/1945|218||no|no|no|cdisc
DROYN|Forsyth/1996|511||no|no|no|minor
DRUML|Macalister/1945|267||no|no|no|minor
DRUMM|Gippert/Web|Ogham 11||yes|no|no|sdisc
DRUMM|Macalister/1945|16||no|no|no|minor
DUNAD|Forsyth/1996|227--228||yes|yes|yes|read
DUNAL|Macalister/1945|304||no|no|no|cdisc
DUNB|Macalister/1945|34||no|no|no|cdisc
DUNER|Macalister/1949|30||no|no|no|minor
DUNGM|Macalister/1945|300, ftn 1||no|no|no|cdisc
DUPLN|Alcock/1982|211-239||yes|yes|yes|sdisc
DUPLN|Alcock/Alcock/1992|215--242||yes|yes|yes|sdisc
DUPLN|Forsyth/1996|243--246||no|no|yes|sdisc
DUROW|Harbison/1992|79||no|no|no|cdisc
DUROW|Macalister/1949|39||no|no|no|minor
EGLWC|James/1992|62-76|yes|yes|yes|yes|sdisc
EGLWC|RomillyAllen/1889|95--96|no|no|no|no|minor
EGLWC|Treherne/1889|224--225|no|no|no|no|sdisc
EGRMT|James/1997|7--8|no|no|no|no|other
EGRMT|Nash-Williams/1950|111|no|no|no|no|other
EGRMT|RomillyAllen/1889|305--306|no|no|no|no|other
EGRMT|WynEvans/1991|240, 245|yes|no|no|yes|illus
EMLGE|Cuppage/etal/1986|255||no|no|no|cdisc
EMLGE|Gippert/Web|Ogham 180||no|no|no|sdisc
EMLGE|Macalister/1945|172--173||no|no|no|cdisc
EOGWL|Okasha/1993|100||no|no|no|cdisc
EOGWL|Radford/1969|79||no|no|no|cdisc
FARAN|Cuppage/etal/1986|354--355||no|no|no|minor
FARDL|Okasha/1993|103|none|no|no|no|minor
FCHRW|Fox/1939|34--35||yes|no|no|sdisc
FCHRW|Lhwyd/1848|310||no|yes|no|cdisc
FCHRW|Macalister/1949|153||no|no|no|minor
FCHRW|RCHAMW/1976|36||no|no|no|cdisc
FCHRW|TS/1862|134||no|no|no|cdisc
FCHRW|Westwood/1879|3--5||no|yes|yes|cdisc
FIDUP|Gippert/Web|Ogham 31||no|no|no|cdisc
FIDUP|Macalister/1945|35--36||no|yes|no|cdisc
FINNE|Macalister/1949|120||no|no|no|cdisc
FKWOO|Macalister/1945|70--72||no|no|no|cdisc
FORTW|Macalister/1945|134||no|no|no|cdisc
FOXCA|Macalister/1945|277||no|no|no|cdisc
FRMSN|Forsyth/1996|261--262||no|no|no|sdisc
FUERT|Macalister/1949|14||no|no|no|cdisc
GALPR|Kendrick/1939|1--20||yes|yes|yes|sdisc
GALPR|Macalister/1949|71||no|no|no|minor
GALPR|Petrie/1872|11||no|no|no|cdisc
GAMIL|Macalister/1945|278||no|no|no|minor
GARES|Gippert/Web|Ogham 81||no|no|no|sdisc
GARES|Macalister/1945|83--84||yes|yes|no|cdisc
GEARS|McManus/1991|70--71||no|no|no|cdisc
GEARS|OSullivan/etal/1996|232||no|no|no|cdisc
GIGHA|Forsyth/1996|288--290||no|no|no|cdisc
GLEBE|Macalister/1945|129||no|no|no|cdisc
GLEND|Macalister/1949|81||no|no|no|minor
GLEND|Petrie/1878|57--58||no|no|no|cdisc
GLEWI|Macalister/1945|66||no|no|no|cdisc
GLHAN|Cuppage/etal/1986|203--204||yes|yes|no|sdisc
GLHAN|Macalister/1945|176||no|no|no|minor
GLINS|Cuppage/etal/1986|255||no|no|no|other
GLLOG|Macalister/1945|108--109||no|no|no|cdisc
GLLOG|Power/etal/1997|167||no|no|no|cdisc
GLLRS|Cuppage/etal/1986|286--289||yes|yes|yes|sdisc
GLNMO|Macalister/1945|175||no|no|no|minor
GLOON|Macalister/1949|122||no|no|no|cdisc
GLSHS|Power/etal/1994|63||no|no|no|minor
GOLPI|Forsyth/1996|299--301||no|no|no|cdisc
GORGH|Cuppage/etal/1986|226||no|no|no|cdisc
GOUR|Macalister/1945|72||no|no|no|cdisc
GOWRN|Macalister/1945|37--38||no|no|no|cdisc
GRANG|Macalister/1945|265||no|no|no|minor
GRENL|Macalister/1945|62||no|no|no|minor
GRENL|Power/etal/1997|168||no|no|no|minor
GRISL|Macalister/1945|48||no|no|no|minor
GRMGH|Macalister/1945|38||no|no|no|cdisc
GRTMA|Macalister/1945|219||no|no|no|cdisc
GULV1|Macalister/1945|440|none|no|no|no|minor
GULV1|Okasha/1993|109|none|no|no|no|minor
GULV1|Thomas/1994|308|none|no|no|no|sdisc
GULV2|Langdon/1896|372|none|no|no|no|minor
GULV2|Okasha/1993|113|none|no|no|no|minor
GURAN|Macalister/1945|246||no|no|no|minor
HAREI|Macalister/1949|80||no|no|no|minor
HAREI|Petrie/1872|45, Plate XXXV, Fig. 91||no|yes|no|minor
HAYLE|Macalister/1945|457|none|no|no|no|minor
HAYLE|Okasha/1993|116|none|no|no|no|sdisc
HAYLE|Thomas/1994|190--194|draw/map|no|no|no|sdisc
HENEG|Edwards/1986|28|no|no|no|yes|minor
HENEG|Jones/1846|65-67|no|no|no|no|read
HENEG|RCAHMW/1937|21|yes|no|yes|yes|sdisc
HENLL|WynEvans/1991|240|yes|no|no|yes|minor
HIRWN|RCHAMW/1973|39||no|no|no|minor
