SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
BLHUN|1|1|Ziegler/1994|266||no|no|read
BLNIG|1|1|Cuppage/etal/1986|256||no|no|cdisc
BLNIG|1|1|Macalister/1897|50--51||no|no|cdisc
BLNIG|1|1|Macalister/1945|142||no|yes|cdisc
BLTAG|1|1|Cuppage/etal/1986|265||no|no|minor
BLTAG|1|1|Gippert/Web|Ogham 155||yes|yes|sdisc
BLTAG|1|1|Macalister/1897|32--33||no|no|cdisc
BLTAG|1|1|Macalister/1945|151--152||no|yes|cdisc
BLTAG|1|1|McManus/1991|65||no|no|read
BLTAG|1|1|Ziegler/1994|264||no|no|read
BLTAG|2|1|Cuppage/etal/1986|265--266||yes|yes|cdisc
BLTAG|2|1|Gippert/Web|Ogham 156||yes|yes|sdisc
BLTAG|2|1|Macalister/1897|33--34||no|no|cdisc
BLTAG|2|1|Macalister/1945|152--153||no|yes|cdisc
BLTAG|2|1|Ziegler/1994|264||no|no|read
BLTAG|3|1|Cuppage/etal/1986|265||no|no|cdisc
BLTAG|3|1|Gippert/Web|Ogham 157||yes|yes|cdisc
BLTAG|3|1|Macalister/1897|34--35||no|no|minor
BLTAG|3|1|Macalister/1945|153||no|yes|cdisc
BLTAG|3|1|Ziegler/1994|264||no|no|read
BLTAG|4|1|Cuppage/etal/1986|265||no|no|cdisc
BLTAG|4|1|Gippert/Web|158||yes|yes|cdisc
BLTAG|4|1|Macalister/1897|35||no|no|cdisc
BLTAG|4|1|Macalister/1945|153||no|yes|cdisc
BLTAG|5|1|Cupage/etal/1986|265||no|no|cdisc
BLTAG|5|1|Gippert/Web|159||yes|yes|cdisc
BLTAG|5|1|Macalister/1897|35--37||no|no|cdisc
BLTAG|5|1|Macalister/1945|153--154||no|yes|cdisc
BLTAG|6|1|Cuppage/etal/1986|265--266||no|yes|cdisc
BLTAG|6|1|Gippert/Web|160||yes|yes|cdisc
BLTAG|6|1|Macalister/1897|37--38||no|no|cdisc
BLTAG|6|1|Macalister/1945|154--155||no|yes|cdisc
BLTAG|6|2|Cuppage/etal/1986|265--266||no|yes|cdisc
BLTAG|6|2|Gippert/Web|160||yes|yes|cdisc
BLTAG|6|2|Macalister/1897|37--39||no|no|cdisc
BLTAG|6|2|Macalister/1945|154--155||no|yes|cdisc
BLTAG|7|1|Cuppage/etal/1986|265--266||no|yes|minor
BLTAG|7|1|Gippert/Web|161||yes|yes|cdisc
BLTAG|7|1|Macalister/1897|39||no|no|cdisc
BLTAG|7|1|Macalister/1945|161||no|yes|minor
BLTAG|7|1|Ziegler/1994|265||no|no|read
BLTAG|8|1|Cuppage/etal/1986|265||no|no|cdisc
BLTAG|8|1|Gippert/Web|162||yes|yes|cdisc
BLTAG|8|1|Macalister/1897|39--41||no|no|cdisc
BLTAG|8|1|Macalister/1945|155--156||no|yes|cdisc
BLTAG|9|1|Cuppage/etal/1986|265--266||no|yes|cdisc
BLTAG|9|1|Gippert/Web|163||yes|yes|cdisc
BLTAG|9|1|Macalister/1897|41--45||no|no|sdisc
BLTAG|9|1|Macalister/1945|156--157||no|yes|cdisc
BLTAG|10|1|Cuppage/etal/1986|266||no|no|minor
BLTER|1|1|Cuppage/etal/1986|44||no|no|cdisc
BLTER|1|1|Macalister/1945|157--159||yes|yes|cdisc
BLTER|1|1|McManus/1991|66||no|no|other
BLTER|1|1|Vallancey/1804|224--225||no|inc|cdisc
BLTER|1|1|Ziegler/1994|250||no|no|other
BLTER|2|1|Cuppage/etal/1986|252||no|no|cdisc
BLTER|2|1|Macalister/1945|159--160||no|yes|cdisc
BLTER|2|1|McManus/1991|66||no|no|read
BLTER|2|1|Ziegler/1994|172||no|no|other
BLVOO|1|1|Brash/1879|no. 255||no|yes|minor
BLVOO|1|1|Macalister/1945|266--267||no|yes|cdisc
BLVOO|1|1|Ziegler/1994|213||no|no|other
BLVOO|2|1|Macalister/1945|267--268 (fig. labelled 270)||no|yes|cdisc
BLVOO|2|1|Ziegler/1994|252||no|no|other
BLYGH|1|1|Cuppage/etal/1986|268||no|yes|cdisc
BLYGH|1|1|Macalister/1945|163--164||no|yes|cdisc
BLYGH|1|1|McManus/1991|65||no|no|read
BLYGH|1|1|Ziegler/1994|220||no|no|other
BLYGH|1|2|Cuppage/etal/1986|268||no|no|cdisc
BLYGH|1|2|Macalister/1945|163--164||no|yes|cdisc
BODFD|1|1|Macalister/1945|307||no||list
BODFD|1|1|Radford/1937b|civ||no||list
BOSKN|1|1|McManus/1991|102 note 8, 103||no|no|minor
BOSKN|1|1|Okasha/1993|68--69|photograph|yes|no|sdisc
BOSKN|1|1|Thomas/1980|107--109|drawing|no|yes|sdisc
BOSKN|1|1|Thomas/1994|271, 285, 294|drawing|no|yes|sdisc
BOSKN|1|1|Uhlich/1993|249--250||no|no|minor
BOSLW|1|1|Macalister/1949|185, Plate LXI (1056)|drawing|no|yes|sdisc
BOSLW|1|1|Okasha/1993|70--72|photograph|yes|no|sdisc
BOSLW|1|1|Thomas/1994|287, 293||no|yes|cdisc
BOSLW|1|1|Weatherhill/1981|66|none|no|no|minor
BOSWR|1|1|Okasha/1993|73--75|photograph|yes|no|sdisc
BOSWR|1|1|Thomas/1994|282--283|drawing|no|yes|sdisc
BOWDN|1|1|Huebner/1876|11||no|yes|cdisc
BOWDN|1|1|Okasha/1993|76--78|drawing|no|yes|sdisc
BOWDN|1|1|Thomas/1994|281--282, 330|drawing|no|yes|sdisc
BQUIN|1|1|Macalister/1945|292||no|yes|cdisc
BQUIN|1|1|Ziegler/1994|146||no|no|other
BRAGH|1|1|Cuppage/etal/1986|253||no|no|minor
BRAGH|1|1|Macalister/1945|162||no|no|minor
BRAGH|2|1|Cuppage/etal/1986|253||no|no|cdisc
BRAGH|2|1|Macalister/1945|162--163||no|yes|cdisc
BRAGH|2|1|Ziegler/1994|179||no|no|other
BRAGH|2|2|Cuppage/etal/1986|253||no|no|minor
BRAGH|2|2|Macalister/1945|162--163||no|no|minor
BRATT|1|1|Forsyth/1996|109--116||yes|yes|sdisc
BRAW1|1|1|Allen/Westwood/1884|48--49||no|yes|sdisc
BRAW1|1|1|Dark/1992c|36--38||yes|yes|minor
BRAW1|1|1|Macalister/1922|210||no|no|cdisc
BRAW1|1|1|Macalister/1945|401||no|yes|sdisc
BRAW1|1|1|Nash-Williams/1950|180||yes|no|read
BRAW1|1|1|RCHAMW/1925|28||yes|no|minor
BRAW1|1|1|Rhys/1896|103--4||no|no|cdisc
BRAW1|1|1|RomillyAllen/1896|290, 301||no|no|list
BRAW2|1|1|Macalister/1945|493||no|yes|cdisc
BRAW2|1|1|Nash-Williams/1950|180||yes|yes|cdisc
BRAW2|1|1|Rhys/1895a|185--86||no|no|cdisc
BRAW3|1|1|Allen/Westwood/1884|49--50||no|yes|cdisc
BRAW3|1|1|Macalister/1945|399||no|yes|cdisc
BRAW3|1|1|Nash-Williams/1950|180||yes|no|cdisc
BRAW3|1|1|RCHAMW/1925|28||no|yes|cdisc
BRAW3|1|1|Rhys/1895a|184--5||no|no|cdisc
BRAW3|1|1|RomillyAllen/1896|290, 298||no|no|list
BRAW3|1|2|Macalister/1922|210--11||no|no|cdisc
BRAW3|1|2|Macalister/1945|399||no|yes|cdisc
BRAW3|1|2|Nash-Williams/1950|180||yes|no|cdisc
BRAW3|1|2|Rhys/1895a|184--85||no|no|cdisc
BRAW3|1|2|RomillyAllen/1896|290, 298||no|no|list
BRAW4|1|1|Macalister/1922|210||no|no|cdisc
BRAW4|1|1|Macalister/1945|401--2||no|yes|cdisc
BRAW4|1|1|Nash-Williams/1950|180||yes|yes|cdisc
BRAW4|1|1|Rhys/1897a|133--35||no|yes|cdisc
BRAW4|1|1|RomillyAllen/1896|292, 302||no|no|list
BRCKN|1|1|Cuppage/etal/1986|124||no|no|cdisc
BRCKN|1|1|Macalister/1945|166--167||no|yes|cdisc
BREAS|1|1|Gippert/1997|10||yes|yes|sdisc
BREAS|1|1|Macalister/1897|73--75||no|yes|cdisc
BREAS|1|1|Macalister/1945|13--14||yes|yes|cdisc
BREAS|1|2|Gippert/Web|1997||yes|yes|sdisc
BREAS|1|2|Macalister/1897|73--75||no|yes|cdisc
BREAS|1|2|Macalister/1945|14--15||yes|yes|cdisc
BREAY|1|1|Forsyth/1996|122--138||yes|yes|sdisc
BRHAM|1|1|Cuppage/etal/1986|254||no|no|minor
BRHGW|1|1|Macalister/1949|10, Plate 1||no|yes|cdisc
BRHKL|1|1|McManus/1991|71--72||no|no|minor
BRHKL|1|1|Rynne/1962|||no|no|minor
BRIDE|1|1|Kermode/1911|33--34|yes|yes|yes|sdisc
BRIDE|1|1|Kermode/1911-1912|69--74|yes|no|yes|sdisc
BRIDE|1|1|Kermode/1911-1912b|593--595|yes|no|yes|cdisc
BRIDE|1|1|Macalister/1949|191|yes|no|yes|cdisc
BRIDE|1|1|Thomas/1971|189|yes|no|no|cdisc
BRIDE|1|2|Kermode/1911|33|yes|yes|no|sdisc
BRIDE|1|2|Kermode/1911-1912|71|yes|no|yes|sdisc
BRIDE|1|2|Kermode/1911-1912b|593--595|inc|inc|yes|cdisc
BRIDE|1|2|Thomas/1971|189|yes|no|no|sdisc
BRIDE|1|3|Kermode/1911|33|yes|yes|yes|sdisc
BRIDE|1|3|Kermode/1911-1912|71-72|yes|no|yes|sdisc
BRIDE|1|3|Macalister/1949|191|yes|no|yes|read
BRIDE|1|3|Thomas/1971|189|yes|no|no|read
BRIDE|1|4|Kermode/1911|33|yes|yes|yes|sdisc
